"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 09 18:45:46 GMT 2023","Thu Nov 09 18:45:46 GMT 2023","1","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Thu Nov 09 18:45:46 GMT 2023","Thu Nov 09 18:45:46 GMT 2023","3","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Thu Nov 09 18:45:46 GMT 2023","Thu Nov 09 18:45:46 GMT 2023","1","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Thu Nov 09 18:45:46 GMT 2023","Thu Nov 09 18:45:46 GMT 2023","0","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Thu Nov 09 18:45:46 GMT 2023","Thu Nov 09 18:45:46 GMT 2023","0","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Thu Nov 09 18:45:46 GMT 2023","Thu Nov 09 18:45:46 GMT 2023","21","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureSimpleTest","io.qameta.allure.examples.testng.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
