"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 27 15:58:35 GMT 2024","Fri Sep 27 15:58:35 GMT 2024","3","Gradle suite","Gradle test","com.example.testng.StepTest","com.example.testng.StepTest","lambdaStepTest","lambdaStepTest",""
"passed","Fri Sep 27 15:58:35 GMT 2024","Fri Sep 27 15:58:35 GMT 2024","24","Gradle suite","Gradle test","com.example.testng.StepTest","com.example.testng.StepTest","annotatedStepTest","annotatedStepTest",""
